id;code;date;details;status;payment_method;payment_date;payment_amount
1;Texas Focused;2022-10-17T02:06:11;Loop;CANCELLED;PAYPAL;2022-10-16T20:26:36;22604
2;calculating;2022-10-17T02:34:34;haptic 1080p;ISSUED;PAYPAL;2022-10-16T13:48:14;10489
3;national Frozen Berkshire;2022-10-17T02:49:24;Account Borders Home;PAID;CREDIT_CARD;2022-10-16T17:32:15;36325
4;monitor;2022-10-16T12:52:00;parse intuitive Division;CANCELLED;PAYPAL;2022-10-16T14:27:01;13687
5;synergy transmitting;2022-10-16T12:54:15;parse Gloves;ISSUED;PAYPAL;2022-10-16T21:30:53;92472
6;function;2022-10-16T17:47:43;Fresh;CANCELLED;CASH_ON_DELIVERY;2022-10-17T04:54:44;26944
7;Maine;2022-10-17T04:14:06;RAM;ISSUED;PAYPAL;2022-10-17T09:15:58;32458
8;Analyst Agent;2022-10-17T08:08:48;Awesome Salad compressing;ISSUED;CASH_ON_DELIVERY;2022-10-17T05:10:30;79389
9;Salad;2022-10-16T14:17:30;Gorgeous;ISSUED;CREDIT_CARD;2022-10-16T23:03:54;62169
10;Pants Wooden Intuitive;2022-10-16T23:41:27;array Arizona Vermont;CANCELLED;CASH_ON_DELIVERY;2022-10-16T19:36:04;58737
